title,description,imageUrl,type,oneDay,allDay,startDay,endDay,startTime,endTime,eventUrl,place,numberOfPeople,cost
第4回：山川美代やまかわみよ作品展〈燃える花〉,「文化の香る街づくり」の一環として、松戸市の文化芸術の振興を図るため、松戸市在住・在勤美術作家の活動を市民の皆様へご紹介します。（4名の作家の個展を2ヶ月ごとに開催します）,http://www.city.matsudo.chiba.jp/miryoku/kankoumiryokubunka/rekisi-bunka/dezitarubizyutu_top/event/matudonosakkanokoten.images/201801251045.jpg,red,FALSE,FALSE,2018/3/6,2018/3/9,9:00,22:00,http://www.city.matsudo.chiba.jp/miryoku/kankoumiryokubunka/rekisi-bunka/dezitarubizyutu_top/event/matudonosakkanokoten.html,森のホール21,-,無料
ポット苗から育てるペチュニア,「マグノリアハウス」では、月に1回から3回程度講座を開催しています。内容はフラワーアレンジメントや寄せ植え、ハーブの講座、クラフトなどさまざまです。,http://www.city.matsudo.chiba.jp/shisetsu-guide/kouen_ryokuka/yuinohana/kouza-event/index.images/20180210.jpg,yellow,TRUE,FALSE,2018/3/10,,10:00,11:30,http://www.city.matsudo.chiba.jp/shisetsu-guide/kouen_ryokuka/yuinohana/kouza-event/index.html,ゆいの花公園,15名,"1,000円"
ドリーム講座「赤ちゃんと楽しく　ベビーマッサージ」（予約制）（ドリーム子育て支援センター）,"専用オイルを使用し、優しくマッサージをします。オイルを使ったマッサージの前後24時間位は予防接種を控えて頂きたいので、スケジュールをご考慮の上お申し込みください。生後2ヶ月くらいから参加できます。ご心配な方はお問い合わせください。",http://www.city.matsudo.chiba.jp/images/s_ko_bg_head.gif,blue,TRUE,FALSE,2018/3/8,,13:30,14:30,http://www.city.matsudo.chiba.jp/kosodate/matsudodekosodate/kouzaivent/hiroba_event/201803/dreambabymassaji03.html,ドリーム子育て支援センター,8組,無料
高齢化社会とロコモティブシンドローム,,http://www.city.matsudo.chiba.jp/iryoutoshi/kouentop/kouen-hospital/300308CSkouenpm.images/300308CSkouenpm.jpg,aqua,TRUE,FALSE,2018/3/8,,15:00,16:00,http://www.city.matsudo.chiba.jp/iryoutoshi/kouentop/kouen-hospital/300308CSkouenpm.html,千葉西総合病院,-,無料
健康教室（糖尿病教室）開催のお知らせ,松戸市立総合医療センターでは、糖尿病患者様やそのご家族、糖尿病に関心のある方に向けて、糖尿病教室を開催しております。どなたでもお気軽にご参加ください。,,green,TRUE,TRUE,2018/3/15,,,,http://www.city.matsudo.chiba.jp/hospital/torikumi/event_seminar/kenkoukyousitu_03.html,松戸市立総合医療センター,なし,無料
FMラジオ番組「MATSUDO HAPPY☆topics」,松戸市の魅力を発信するラジオ番組「MATSUDO HAPPY☆topics」がFMラジオ局「bayfm78（ベイエフエム）」で放送中！！,http://www.city.matsudo.chiba.jp/shisei/keikaku-kousou/city_promotion/radio_bayfm.images/title201610.jpg,light-blue,TRUE,FALSE,2018/3/15,,15:53,15:57,http://www.city.matsudo.chiba.jp/shisei/keikaku-kousou/city_promotion/radio_bayfm.html,bayfm78,なし,無料
